aligatorun	mame	Alligator Hunt (unprotected, set 1)
aligatoruna	mame	Alligator Hunt (unprotected, set 2)
alinvade	mame	Alien Invaders
alphaho	mame	Alpha Fighter / Head On
alpham2	neogeo	Alpha Mission II / ASO II - Last Guardian (NGM-007)(NG
alpham2p	neogeo	Alpha Mission II / ASO II - Last Guardian (prototype)
alphamis	mame	Alpha Mission
alphaone	mame	Alpha One (prototype, 3 lives)
alphaonea	mame	Alpha One (prototype, 5 lives)
alphaxz	mame	The Alphax Z (Japan)
alpine	mame	Alpine Ski (set 1)
alpinea	mame	Alpine Ski (set 2)
altbeast	mame	Altered Beast (set 8, 8751 317-0078)
altbeast2	mame	Altered Beast (set 2, MC-8123B 317-0066)
altbeast4	mame	Altered Beast (set 4, MC-8123B 317-0066)
altbeast5	mame	Altered Beast (set 5, FD1094 317-0069)
altbeast5d	mame	Altered Beast (set 5, FD1094 317-0069 decrypted)
altbeast6	mame	Altered Beast (set 6, 8751 317-0076)
altbeastbl	mame	Altered Beast (Datsu bootleg)
altbeastj	mame	Juuouki (set 7, Japan, 8751 317-0077)
altbeastj1	mame	Juuouki (set 1, Japan, FD1094 317-0065)
altbeastj3	mame	Juuouki (set 3, Japan, FD1094 317-0068)
altbeastj3d	mame	Juuouki (set 3, Japan, FD1094 317-0068 decrypted)
amatelas	mame	Sei Senshi Amatelass
amazon	mame	Soldier Girl Amazon
ambush	mame	Ambush
ambushh	mame	Ambush (hack?)
ambushj	mame	Ambush (Japan)
ambushv	mame	Ambush (Volt Elec co-ltd)
amidar	mame	Amidar
amidar1	mame	Amidar (older)
amidarb	mame	Amidar (bootleg)
amidaro	mame	Amidar (Olympia)
amidars	mame	Amidar (Scramble hardware)
amidaru	mame	Amidar (Stern)
amigo	mame	Amigo
amspdwy	mame	American Speedway (set 1)
amspdwya	mame	American Speedway (set 2)
androdun	neogeo	Andro Dunos (NGM-049)(NGH-049)
androidp	mame	Android (prototype, later build)
androidpo	mame	Android (prototype, early build)
angelkds	mame	Angel Kids (Japan)
anteater	mame	Anteater
anteaterg	mame	Ameisenbaer (German)
anteateruk	mame	The Anteater (UK)
aodk	neogeo	Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyok
aof	neogeo	Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044)
aof2	neogeo	Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056)
aof2a	neogeo	Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056)
aof3	neogeo	Art of Fighting 3 - The Path of the Warrior / Art of F
aof3k	neogeo	Art of Fighting 3 - The Path of the Warrior (Korean re
aponow	mame	Apocaljpse Now
appoooh	mame	Appoooh
aquajack	mame	Aquajack (World)
aquajackj	mame	Aquajack (Japan)
aquajacku	mame	Aquajack (US)
aquarium	mame	Aquarium (US)
aquariumj	mame	Aquarium (Japan)
arabian	mame	Arabian
arabiana	mame	Arabian (Atari)
arabianm	mame	Arabian Magic (Ver 1.0O 1992/07/06)
arabianmj	mame	Arabian Magic (Ver 1.0J 1992/07/06)
arabianmu	mame	Arabian Magic (Ver 1.0A 1992/07/06)
aracnis	mame	Aracnis (bootleg of Scorpion on Moon Cresta hardware)
arbalest	mame	Arbalester
arcadecl	mame	Arcade Classics (prototype)
arcadian	mame	Arcadia (NMK)
area88	cps1	Area 88 (Japan)
area88r	cps1	Area 88 (Japan Resale ver.)
argus	mame	Argus
arian	mame	Arian Mission
ark1ball	mame	Arkanoid (bootleg with MCU, harder)
ark1balla	mame	Arkanoid (bootleg with MCU, harder, alt)
arkangc	mame	Arkanoid (Game Corporation bootleg, set 1)
arkangc2	mame	Arkanoid (Game Corporation bootleg, set 2)
arkanoid	mame	Arkanoid (World, oldest rev)
arkanoidj	mame	Arkanoid (Japan)
arkanoidja	mame	Arkanoid (Japan, older rev)
arkanoidjb	mame	Arkanoid (Japan, oldest rev)
arkanoidjbl	mame	Arkanoid (bootleg with MCU set 1)
arkanoidjbl2	mame	Arkanoid (bootleg with MCU set 2)
arkanoidjbla	mame	Arkanoid (bootleg with MCU, alt)
arkanoidu	mame	Arkanoid (US)
arkanoiduo	mame	Arkanoid (US, oldest rev)
arkarea	mame	Ark Area
arkatayt	mame	Arkanoid (Tayto bootleg)
arkatour	mame	Tournament Arkanoid (US)
arkbloc2	mame	Block (Game Corporation bootleg, set 2)
arkblock	mame	Block (Game Corporation bootleg, set 1)
arkgcbl	mame	Arkanoid (bootleg on Block hardware)
arknoid2	mame	Arkanoid - Revenge of DOH (World)
arknoid2b	mame	Arkanoid - Revenge of DOH (Japan bootleg)
arknoid2j	mame	Arkanoid - Revenge of DOH (Japan)
arknoid2u	mame	Arkanoid - Revenge of DOH (US)
arkretrn	mame	Arkanoid Returns (Ver 2.02O 1997/02/10)
arkretrnj	mame	Arkanoid Returns (Ver 2.02J 1997/02/10)
arkretrnu	mame	Arkanoid Returns (Ver 2.02A 1997/02/10)
arktayt2	mame	Arkanoid (Tayto bootleg, harder)
armedf	mame	Armed Formation
armedff	mame	Armed Formation (Fillmore license)
armorcar	mame	Armored Car (set 1)
armorcar2	mame	Armored Car (set 2)
armwar	cps2	Armored Warriors (941024 Europe)
armwar1d	cps2	Armored Warriors (941011 Europe Phoenix Edition)
armwara	cps2	Armored Warriors (941024 Asia)
armwarar1	cps2	Armored Warriors (940920 Asia)
armwarr1	cps2	Armored Warriors (941011 Europe)
armwaru	cps2	Armored Warriors (941024 USA)
armwaru1	cps2	Armored Warriors (940920 USA)
armwrest	mame	Arm Wrestling
ashnojoe	mame	Ashita no Joe (Japan)
ashura	mame	Ashura Blaster (World)
ashuraj	mame	Ashura Blaster (Japan)
ashurau	mame	Ashura Blaster (US)
asideral	mame	Ataque Sideral (Spanish bootleg of UniWar S)
aso	mame	ASO - Armored Scrum Object
assault	mame	Assault (Rev B)
assaultj	mame	Assault (Japan)
assaultp	mame	Assault Plus (Japan)
astdelux	mame	Asteroids Deluxe (rev 3)
astdelux1	mame	Asteroids Deluxe (rev 1)
astdelux2	mame	Asteroids Deluxe (rev 2)
asterix	mame	Asterix (ver EAD)
asterixaad	mame	Asterix (ver AAD)
asterixeaa	mame	Asterix (ver EAA)
asterixeac	mame	Asterix (ver EAC)
asterixj	mame	Asterix (ver JAD)
asterock	mame	Asterock (Sidam bootleg of Asteroids)
asterockv	mame	Asterock (Videotron bootleg of Asteroids)
asteroid	mame	Asteroids (rev 4)
asteroid1	mame	Asteroids (rev 1)
asteroid2	mame	Asteroids (rev 2)
asteroidb	mame	Asteroids (bootleg on Lunar Lander hardware)
astorm	mame	Alien Storm (set 4, World, 2 Players, FD1094 317-0154)
astorm3	mame	Alien Storm (set 3, World, 3 Players, FD1094 317-0148)
astorm3d	mame	Alien Storm (set 3, World, 3 Players, FD1094 317-0148
astormj	mame	Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317
astormjd	mame	Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317
astormu	mame	Alien Storm (set 2, US, 3 Players, FD1094 317-0147)
astormud	mame	Alien Storm (set 2, US, 3 Players, FD1094 317-0147 dec
astrians	mame	Astrians (clone of Swarm)
astrofl	mame	Astro Flash (Japan)
astyanax	mame	The Astyanax
asuka	mame	Asuka & Asuka (World)
asukaj	mame	Asuka & Asuka (Japan)
asurabld	mame	Asura Blade - Sword of Dynasty (Japan)
asurabus	mame	Asura Buster - Eternal Warriors (Japan)
asurabusa	mame	Asura Buster - Eternal Warriors (Japan) (ARCADIA revie
atehate	mame	Athena no Hatena ?
atetris	mame	Tetris (set 1)
atetrisa	mame	Tetris (set 2)
atetrisb	mame	Tetris (bootleg set 1)
atetrisb2	mame	Tetris (bootleg set 2)
atetrisc	mame	Tetris (cocktail set 1)
atetrisc2	mame	Tetris (cocktail set 2)
athena	mame	Athena
athenab	mame	Athena (bootleg)
atlantis	mame	Battle of Atlantis (set 1)
atlantis2	mame	Battle of Atlantis (set 2)
atlantisb	mame	Battle of Atlantis (bootleg)
atlantol	mame	Atlant Olimpic
atomboy	mame	Atomic Boy (revision B)
atomboya	mame	Atomic Boy (revision A)
atomicp	mame	Atomic Point (Korea)
atompunk	mame	Atomic Punk (US)
attackf	mame	Attack (Defender bootleg)
aurail	mame	Aurail (set 3, US, unprotected)
aurail1	mame	Aurail (set 2, World, FD1089B 317-0168)
aurail1d	mame	Aurail (set 2, World, FD1089B 317-0168 decrypted)
aurailj	mame	Aurail (set 1, Japan, FD1089A 317-0167)
aurailjd	mame	Aurail (set 1, Japan, FD1089A 317-0167 decrypted)
